orden_id,fecha_compra,cliente_id,region,canal,producto,cantidad,total_soles,prioridad_entrega
VEN-00547,2026-01-03 16:17:00,CLI-0290,Lima,tienda,Laptop,7,4940.18,alta
VEN-00552,2026-01-17 09:37:00,CLI-0238,Loreto,web,SSD,3,2010.61,alta
VEN-00534,2026-01-18 13:18:00,CLI-0178,Lima,app,Audifonos,1,1290.84,alta
VEN-00541,2026-01-21 23:36:00,CLI-0335,Cusco,marketplace,Audifonos,6,1548.85,baja
VEN-00550,2026-01-25 04:32:00,CLI-0044,Cusco,app,Audifonos,2,254.79,media
VEN-00537,2026-01-30 22:20:00,CLI-0018,La Libertad,marketplace,Teclado,3,2357.79,alta
VEN-00525,2026-02-02 03:51:00,CLI-0278,Arequipa,app,Laptop,1,5099.8,alta
VEN-00532,2026-02-17 13:08:00,CLI-0098,Piura,web,Mouse,2,820.55,media
VEN-00543,2026-02-17 22:38:00,CLI-0285,Lima,marketplace,Monitor,7,2670.08,alta
VEN-00544,2026-02-19 18:32:00,CLI-0168,Cusco,tienda,Mouse,5,972.54,baja
VEN-00535,2026-02-20 20:52:00,CLI-0239,Piura,marketplace,SSD,3,1934.27,alta
VEN-00554,2026-02-27 12:08:00,CLI-0343,Cusco,web,Impresora,5,67.69,alta
VEN-00524,2026-03-07 14:19:00,CLI-0136,Loreto,marketplace,Router,7,2154.91,alta
VEN-00557,2026-03-09 06:04:00,CLI-0048,Junin,app,Teclado,2,1642.45,baja
VEN-00551,2026-03-09 21:10:00,CLI-0309,Junin,tienda,Impresora,3,4079.67,alta
VEN-00528,2026-03-13 17:18:00,CLI-0124,Junin,web,Audifonos,3,822.24,media
VEN-00531,2026-03-18 05:38:00,CLI-0057,La Libertad,app,Laptop,8,1114.31,alta
VEN-00523,2026-03-20 05:34:00,CLI-0107,Arequipa,web,Router,3,3491.79,baja
VEN-00538,2026-03-23 08:38:00,CLI-0068,Piura,app,Audifonos,3,3337.22,baja
VEN-00560,2026-03-24 02:08:00,CLI-0195,Piura,web,SSD,4,3879.39,baja
VEN-00540,2026-04-07 17:07:00,CLI-0049,Cusco,app,Mouse,4,2227.9,media
VEN-00545,2026-04-28 02:46:00,CLI-0148,Piura,web,Teclado,4,2340.36,media
VEN-00542,2026-04-30 02:29:00,CLI-0295,Loreto,web,Mouse,3,5197.28,alta
